0610005C13Rik	7260
1700018A23Rik	20
1700018L02Rik	66
1700066M21Rik	1475
1700086O06Rik	255
1700108J01Rik	0
2010103J01Rik	0
2300009A05Rik	595
2310061I04Rik	1084
2610028H24Rik	0
2610203C22Rik	57
3110009E18Rik	55
3200001D21Rik	0
4930451E10Rik	4
4930473H19Rik	0
4930500F10Rik	0
4930506C21Rik	27
4930507D05Rik	0
4930556N13Rik	2
4932702P03Rik	20
4933411K16Rik	0
5730409K12Rik	0
6230400D17Rik	17
6430562O15Rik	6
9330162012Rik	209
9430091E24Rik	138
9630013K17Rik	0
9630015K15Rik	35
A230108P19Rik	5
A430057M04Rik	19
A930013F10Rik	0
AA467197	0
AW495222	36
Aadat	2186
Aamp	4823
Aars2	636
Aass	11152
Abat	8233
Abca9	215
Abcb10	1196
Abcb6	1768
Abcb7	1764
Abcb8	1095
Abcd1	919
Abcd2	1781
Abcd3	20570
Abhd10	496
Abhd11	1463
Abhd11os	21
Abi1	2785
Acaa1a	8711
Acaa1b	43807
Acaa2	31608
Acaca	4315
Acacb	3922
Acad10	883
Acad11	8374
Acad12	156
Acad8	2523
Acad9	1658
Acadl	7999
Acadm	11008
Acads	3098
Acadsb	4976
Acadvl	13086
Acat1	11114
Ackr4	108
Acly	22252
Aco2	5242
Acod1	11
Acot10	13
Acot11	282
Acot13	2822
Acot2	220
Acot7	787
Acot9	164
Acoxl	0
Acp6	1932
Acsf2	6074
Acsf3	1197
Acsl1	27870
Acsl6	0
Acsm1	15515
Acsm2	21
Acsm3	3294
Acsm4	0
Acsm5	5965
Acss1	31
Acss3	2840
Adck1	646
Adck2	536
Adck5	1195
Adcy10	11
Adhfe1	4491
Afg1l	429
Afg3l1	1661
Afg3l2	2605
Agk	235
Agmat	8538
Agpat4	62
Agpat5	446
Agxt	13958
Agxt2	12236
Ahcyl1	4072
Aifm1	4067
Aifm2	790
Aifm3	257
Ak2	8473
Ak3	18424
Ak4	1479
Akap1	5277
Akap10	674
Akr1b10	95
Akr1b7	138
Akr7a5	4674
Alas1	5094
Alas2	1213
Aldh18a1	96
Aldh1a7	10167
Aldh1b1	3018
Aldh1l1	59773
Aldh1l2	26
Aldh2	66637
Aldh3a2	7867
Aldh4a1	15217
Aldh5a1	2855
Aldh6a1	14984
Aldh7a1	12958
Aldh9a1	11491
Alkbh1	736
Alkbh2	224
Alkbh7	374
Amacr	4576
Amt	2407
Angel2	959
Ankrd12	349
Ankrd42	39
Antkmt	1312
Apex1	925
Apex2	483
Apoa2	284060
Apoo	1035
Apool	1112
Arf5	2493
Arg2	4
Arhgap44	24
Arl2	240
Armc10	314
Armcx1	84
Armcx2	115
Armcx3	397
Armcx6	15
Arvcf	520
Atad1	2289
Atad3a	3415
Atp23	195
Atp5f1a	28464
Atp5f1b	31741
Atp5f1c	11225
Atp5f1d	9948
Atp5f1e	5885
Atp5if1	850
Atp5mc1	2836
Atp5mc2	394
Atp5mc3	20080
Atp5me	2732
Atp5mf	9000
Atp5mg	1060
Atp5mj	4563
Atp5mk	1966
Atp5pb	13799
Atp5pd	6445
Atp5pf	12377
Atp5po	6616
Atpaf1	181
Atpaf2	1080
Atpsckmt	1279
Auh	1681
Aup1	4770
Aurkaip1	2324
Azi2	2404
B3gnt4	0
BC048644	90
Bad	459
Bak1	552
Bax	730
Bbc3	342
Bbof1	358
Bcap31	6337
Bcat2	2001
Bckdha	5796
Bckdhb	4929
Bckdk	457
Bcl2	122
Bcl2a1d	19
Bcl2l1	986
Bcl2l10	0
Bcl2l11	198
Bcl2l13	1091
Bcl2l2	612
Bco2	1719
Bcs1l	653
Bdh1	7181
Bid	561
Bik	188
Bloc1s1	2468
Bmp8a	0
Bnip3	5493
Bnip3l	1897
Bok	262
Bola1	482
Bola3	1862
Bphl	7623
Bud23	1209
Bud31	1672
C030006K11Rik	113
C1qbp	3476
C330018D20Rik	544
C430014B12Rik	133
Cacna1d	116
Camk1	647
Car5a	2750
Car5b	179
Cars2	839
Casp3	1235
Casp8	1589
Casp9	671
Cat	120126
Cbr2	0
Cbr3	12
Cbr4	1017
Ccdc127	1089
Ccdc142	194
Ccdc159	395
Ccdc51	374
Ccdc78	4
Ccdc90b	380
Ccnc	891
Cd63-ps	0
Cdc123	1825
Cdc37l1	2761
Cdc42bpa	852
Cdh12	36
Cdk5	688
Cdk5rap1	474
Cebpz	1756
Cebpzos	821
Cela2a	30
Cenpq	111
Cenpu	25
Cep89	310
Cfap157	0
Chad	6
Chchd1	1035
Chchd10	12358
Chchd2	9484
Chchd3	3908
Chchd4	565
Chchd5	407
Chchd6	99
Chchd7	893
Chdh	5810
Chpt1	4969
Ciapin1	1548
Cisd1	6150
Cisd3	1673
Ckmt1	2
Ckmt2	0
Cldn20	5
Cldnd2	21
Clpb	1244
Clpp	1666
Clpx	12232
Clybl	1824
Cmc1	982
Cmc2	319
Cmpk2	444
Coa3	1870
Coa4	293
Coa5	2864
Coa6	653
Coa7	718
Coa8	786
Coasy	3678
Comt	15925
Comtd1	100
Cops3	1687
Coq10a	2091
Coq10b	851
Coq2	1561
Coq3	929
Coq4	290
Coq5	1355
Coq6	628
Coq7	746
Coq8a	21396
Coq8b	374
Coq9	3171
Cox10	440
Cox11	648
Cox14	858
Cox15	652
Cox16	0
Cox17	1774
Cox18	482
Cox19	1790
Cox20	2193
Cox20b	0
Cox4i1	21319
Cox4i2	3
Cox5a	6285
Cox5b	4548
Cox6a1	9485
Cox6a2	4
Cox6b1	10226
