0610005C13Rik	5916
1700018A23Rik	12
1700018L02Rik	190
1700066M21Rik	1343
1700086O06Rik	180
1700108J01Rik	0
2010103J01Rik	0
2300009A05Rik	435
2310061I04Rik	993
2610028H24Rik	0
2610203C22Rik	51
3110009E18Rik	60
3200001D21Rik	0
4930451E10Rik	1
4930473H19Rik	0
4930500F10Rik	0
4930506C21Rik	20
4930507D05Rik	2
4930556N13Rik	1
4932702P03Rik	3
4933411K16Rik	0
5730409K12Rik	0
6230400D17Rik	9
6430562O15Rik	5
9330162012Rik	182
9430091E24Rik	106
9630013K17Rik	2
9630015K15Rik	44
A230108P19Rik	24
A430057M04Rik	9
A930013F10Rik	0
AA467197	8
AW495222	22
Aadat	2227
Aamp	4694
Aars2	533
Aass	10175
Abat	7258
Abca9	410
Abcb10	1048
Abcb6	1214
Abcb7	2108
Abcb8	1158
Abcd1	1108
Abcd2	1905
Abcd3	16236
Abhd10	417
Abhd11	1406
Abhd11os	43
Abi1	3284
Acaa1a	5663
Acaa1b	21892
Acaa2	30776
Acaca	6111
Acacb	7711
Acad10	869
Acad11	6678
Acad12	147
Acad8	2454
Acad9	1707
Acadl	8882
Acadm	8956
Acads	3470
Acadsb	5420
Acadvl	11828
Acat1	10007
Ackr4	72
Acly	35919
Aco2	4570
Acod1	33
Acot10	11
Acot11	334
Acot13	2830
Acot2	262
Acot7	927
Acot9	283
Acoxl	3
Acp6	1979
Acsf2	5723
Acsf3	1187
Acsl1	26907
Acsl6	1
Acsm1	16485
Acsm2	28
Acsm3	2952
Acsm4	0
Acsm5	6080
Acss1	77
Acss3	2847
Adck1	513
Adck2	489
Adck5	1524
Adcy10	12
Adhfe1	5879
Afg1l	408
Afg3l1	1536
Afg3l2	2767
Agk	280
Agmat	6402
Agpat4	85
Agpat5	561
Agxt	14953
Agxt2	10441
Ahcyl1	4133
Aifm1	4769
Aifm2	746
Aifm3	232
Ak2	9561
Ak3	18634
Ak4	1214
Akap1	3637
Akap10	777
Akr1b10	238
Akr1b7	172
Akr7a5	3803
Alas1	3573
Alas2	7083
Aldh18a1	234
Aldh1a7	12124
Aldh1b1	4727
Aldh1l1	65542
Aldh1l2	15
Aldh2	70942
Aldh3a2	5636
Aldh4a1	13284
Aldh5a1	2312
Aldh6a1	14558
Aldh7a1	16075
Aldh9a1	11346
Alkbh1	588
Alkbh2	225
Alkbh7	546
Amacr	4091
Amt	2325
Angel2	938
Ankrd12	267
Ankrd42	34
Antkmt	1579
Apex1	1232
Apex2	431
Apoa2	220824
Apoo	972
Apool	1324
Arf5	2858
Arg2	27
Arhgap44	26
Arl2	148
Armc10	401
Armcx1	156
Armcx2	154
Armcx3	566
Armcx6	24
Arvcf	659
Atad1	2401
Atad3a	2860
Atp23	206
Atp5f1a	28002
Atp5f1b	27365
Atp5f1c	12151
Atp5f1d	8353
Atp5f1e	5801
Atp5if1	1246
Atp5mc1	3268
Atp5mc2	286
Atp5mc3	19085
Atp5me	2280
Atp5mf	8565
Atp5mg	956
Atp5mj	4001
Atp5mk	2380
Atp5pb	14562
Atp5pd	6302
Atp5pf	12483
Atp5po	6958
Atpaf1	165
Atpaf2	805
Atpsckmt	932
Auh	1735
Aup1	4743
Aurkaip1	2299
Azi2	2507
B3gnt4	0
BC048644	45
Bad	321
Bak1	812
Bax	999
Bbc3	633
Bbof1	346
Bcap31	7258
Bcat2	1896
Bckdha	6387
Bckdhb	4936
Bckdk	412
Bcl2	124
Bcl2a1d	76
Bcl2l1	1236
Bcl2l10	0
Bcl2l11	223
Bcl2l13	954
Bcl2l2	786
Bco2	1851
Bcs1l	727
Bdh1	7435
Bid	546
Bik	143
Bloc1s1	2774
Bmp8a	0
Bnip3	5196
Bnip3l	3193
Bok	350
Bola1	480
Bola3	1690
Bphl	7956
Bud23	1119
Bud31	1867
C030006K11Rik	191
C1qbp	3403
C330018D20Rik	538
C430014B12Rik	100
Cacna1d	106
Camk1	758
Car5a	2362
Car5b	197
Cars2	775
Casp3	1402
Casp8	2201
Casp9	835
Cat	132913
Cbr2	2
Cbr3	32
Cbr4	1170
Ccdc127	963
Ccdc142	179
Ccdc159	305
Ccdc51	411
Ccdc78	7
Ccdc90b	358
Ccnc	931
Cd63-ps	0
Cdc123	1718
Cdc37l1	2259
Cdc42bpa	824
Cdh12	32
Cdk5	679
Cdk5rap1	712
Cebpz	1509
Cebpzos	804
Cela2a	47
Cenpq	172
Cenpu	21
Cep89	307
Cfap157	2
Chad	2
Chchd1	809
Chchd10	9790
Chchd2	7846
Chchd3	4073
Chchd4	342
Chchd5	467
Chchd6	73
Chchd7	907
Chdh	4732
Chpt1	3477
Ciapin1	1088
Cisd1	6070
Cisd3	1944
Ckmt1	1
Ckmt2	0
Cldn20	9
Cldnd2	5
Clpb	1172
Clpp	1415
Clpx	8030
Clybl	2083
Cmc1	1009
Cmc2	284
Cmpk2	796
Coa3	1604
Coa4	366
Coa5	2983
Coa6	741
Coa7	746
Coa8	770
Coasy	3508
Comt	26383
Comtd1	115
Cops3	1618
Coq10a	1300
Coq10b	591
Coq2	1722
Coq3	822
Coq4	229
Coq5	1405
Coq6	418
Coq7	845
Coq8a	26390
Coq8b	570
Coq9	2777
Cox10	401
Cox11	594
Cox14	794
Cox15	839
Cox16	0
Cox17	1806
Cox18	417
Cox19	1691
Cox20	2108
Cox20b	0
Cox4i1	20401
Cox4i2	8
Cox5a	5887
Cox5b	4279
Cox6a1	9218
Cox6a2	1
Cox6b1	10609
Cox6b2	27
Cox6c	11013
Cox7a1	145
Cox7a2	6472
Cox7a2l	3268
Cox7b	9584
Cox7c	982
Cox8a	6299
Cox8b	0
Cox8c	0
Cpeb3	531
Cpox	3206
Cps1	117217
Cpsf1	1625
Cpt1a	5745
Cpt1b	0
Cpt1c	36
Cpt2	2228
Crat	1027
Crbn	1120
Crls1	1955
Crot	19185
Cry1	501
Cryz	2539
Cryzl2	948
Cs	7898
Csl	2
Cstad	3
Cyb5b	15840
Cyb5r3	30855
Cyb5rl	403
Cyc1	6260
Cycs	3105
Cyct	1
Cyp11a1	5
Cyp11b1	1
Cyp11b2	4
Cyp24a1	0
Cyp27a1	19340
Cyp27b1	0
D030055H07Rik	32
D17Ertd648e	0
D2hgdh	1005
Dap3	2007
Dars2	577
Dbi	42358
Dbp	343
Dbt	4836
Dcakd	1337
Dcun1d3	369
Dcxr	3949
Ddx28	436
Decr1	6378
Dedd	999
Dele1	1271
Dglucy	1984
Dguok	840
Dhodh	398
Dhrs1	2334
Dhrs2	0
Dhrs4	3463
Dhrs7b	991
Dhtkd1	2948
Dhx30	735
Diablo	894
Dlat	4598
Dld	4209
Dlec1	63
Dlst	4953
Dmac1	848
Dmac2	1346
Dmac2l	305
Dmgdh	14318
Dmpk	3325
Dna2	539
Dnah17	9
Dnai7	3
Dnaja3	2437
Dnajb7	4
Dnajc11	1816
Dnajc15	877
Dnajc19	1330
Dnajc28	250
Dnajc30	1079
Dnajc4	388
Dnase1	1
Dnlz	731
Dnm1l	2580
Dolpp1	456
Dus2	385
Dut	422
E130215H24Rik	0
