0610005C13Rik	9740
1700018A23Rik	29
1700018L02Rik	204
1700066M21Rik	1714
1700086O06Rik	223
1700108J01Rik	0
2010103J01Rik	0
2300009A05Rik	527
2310061I04Rik	1377
2610028H24Rik	0
2610203C22Rik	39
3110009E18Rik	39
3200001D21Rik	0
4930451E10Rik	0
4930473H19Rik	0
4930500F10Rik	0
4930506C21Rik	15
4930507D05Rik	0
4930556N13Rik	2
4932702P03Rik	8
4933411K16Rik	0
5730409K12Rik	0
6230400D17Rik	24
6430562O15Rik	2
9330162012Rik	160
9430091E24Rik	225
9630013K17Rik	0
9630015K15Rik	16
A230108P19Rik	17
A430057M04Rik	4
A930013F10Rik	0
AA467197	0
AW495222	1
Aadat	1893
Aamp	5659
Aars2	867
Aass	12263
Abat	5092
Abca9	318
Abcb10	1347
Abcb6	1976
Abcb7	1825
Abcb8	904
Abcd1	898
Abcd2	2296
Abcd3	9833
Abhd10	504
Abhd11	2739
Abhd11os	8
Abi1	3329
Acaa1a	7153
Acaa1b	36461
Acaa2	24796
Acaca	3788
Acacb	1805
Acad10	980
Acad11	5240
Acad12	92
Acad8	2434
Acad9	1500
Acadl	7408
Acadm	10212
Acads	1875
Acadsb	4646
Acadvl	10423
Acat1	8304
Ackr4	14
Acly	9786
Aco2	4384
Acod1	10
Acot10	3
Acot11	116
Acot13	4131
Acot2	121
Acot7	793
Acot9	244
Acoxl	0
Acp6	2573
Acsf2	3235
Acsf3	955
Acsl1	30121
Acsl6	0
Acsm1	15101
Acsm2	4
Acsm3	3242
Acsm4	0
Acsm5	7712
Acss1	64
Acss3	1476
Adck1	658
Adck2	483
Adck5	1845
Adcy10	55
Adhfe1	4105
Afg1l	595
Afg3l1	1795
Afg3l2	3448
Agk	163
Agmat	9112
Agpat4	34
Agpat5	462
Agxt	21549
Agxt2	13594
Ahcyl1	4656
Aifm1	3192
Aifm2	643
Aifm3	443
Ak2	8606
Ak3	15813
Ak4	1192
Akap1	6685
Akap10	856
Akr1b10	216
Akr1b7	178
Akr7a5	4719
Alas1	6338
Alas2	1418
Aldh18a1	84
Aldh1a7	5413
Aldh1b1	3192
Aldh1l1	47768
Aldh1l2	7
Aldh2	51184
Aldh3a2	6834
Aldh4a1	16228
Aldh5a1	2400
Aldh6a1	13720
Aldh7a1	10416
Aldh9a1	7188
Alkbh1	602
Alkbh2	471
Alkbh7	799
Amacr	3585
Amt	2312
Angel2	1103
Ankrd12	561
Ankrd42	111
Antkmt	2106
Apex1	774
Apex2	929
Apoa2	393375
Apoo	918
Apool	996
Arf5	3810
Arg2	1
Arhgap44	42
Arl2	364
Armc10	388
Armcx1	212
Armcx2	175
Armcx3	308
Armcx6	56
Arvcf	769
Atad1	1881
Atad3a	3936
Atp23	284
Atp5f1a	18037
Atp5f1b	20463
Atp5f1c	10248
Atp5f1d	11029
Atp5f1e	10122
Atp5if1	725
Atp5mc1	3562
Atp5mc2	412
Atp5mc3	17418
Atp5me	3411
Atp5mf	11775
Atp5mg	1024
Atp5mj	4889
Atp5mk	2097
Atp5pb	10361
Atp5pd	9035
Atp5pf	15309
Atp5po	7977
Atpaf1	229
Atpaf2	1151
Atpsckmt	1536
Auh	1575
Aup1	5896
Aurkaip1	3280
Azi2	2902
B3gnt4	0
BC048644	70
Bad	394
Bak1	421
Bax	1532
Bbc3	640
Bbof1	416
Bcap31	6410
Bcat2	3975
Bckdha	7170
Bckdhb	7270
Bckdk	516
