0610005C13Rik	6796
1700018A23Rik	23
1700018L02Rik	108
1700066M21Rik	1217
1700086O06Rik	128
1700108J01Rik	0
2010103J01Rik	0
2300009A05Rik	404
2310061I04Rik	763
2610028H24Rik	0
2610203C22Rik	32
3110009E18Rik	39
3200001D21Rik	0
4930451E10Rik	4
4930473H19Rik	0
4930500F10Rik	0
4930506C21Rik	17
4930507D05Rik	0
4930556N13Rik	1
4932702P03Rik	4
4933411K16Rik	0
5730409K12Rik	0
6230400D17Rik	5
6430562O15Rik	9
9330162012Rik	110
9430091E24Rik	153
9630013K17Rik	0
9630015K15Rik	45
A230108P19Rik	13
A430057M04Rik	1
A930013F10Rik	0
AA467197	0
AW495222	51
Aadat	3181
Aamp	5341
Aars2	575
Aass	13257
Abat	12355
Abca9	292
Abcb10	904
Abcb6	2210
Abcb7	2038
Abcb8	998
Abcd1	925
Abcd2	4076
Abcd3	23024
Abhd10	409
Abhd11	1524
Abhd11os	18
Abi1	3833
Acaa1a	7329
Acaa1b	30335
Acaa2	33700
Acaca	2947
Acacb	3882
Acad10	1063
Acad11	12199
Acad12	160
Acad8	3037
Acad9	2542
Acadl	11487
Acadm	13490
Acads	4746
Acadsb	5939
Acadvl	16230
Acat1	18097
Ackr4	78
Acly	12759
Aco2	4597
Acod1	18
Acot10	7
Acot11	252
Acot13	1952
Acot2	361
Acot7	697
Acot9	261
Acoxl	0
Acp6	1750
Acsf2	6297
Acsf3	1271
Acsl1	34447
Acsl6	0
Acsm1	18970
Acsm2	22
Acsm3	3215
Acsm4	0
Acsm5	4369
Acss1	35
Acss3	4059
Adck1	660
Adck2	587
Adck5	1090
Adcy10	2
Adhfe1	4206
Afg1l	454
Afg3l1	2148
Afg3l2	2793
Agk	271
Agmat	8670
Agpat4	24
Agpat5	525
Agxt	22815
Agxt2	9240
Ahcyl1	4790
Aifm1	5329
Aifm2	1064
Aifm3	163
Ak2	8071
Ak3	18023
Ak4	1362
Akap1	4989
Akap10	715
Akr1b10	107
Akr1b7	95
Akr7a5	4134
Alas1	5748
Alas2	522
Aldh18a1	54
Aldh1a7	8512
Aldh1b1	4342
Aldh1l1	59571
Aldh1l2	8
Aldh2	78906
Aldh3a2	12691
Aldh4a1	14835
Aldh5a1	2629
Aldh6a1	19820
Aldh7a1	16628
Aldh9a1	16495
Alkbh1	421
Alkbh2	228
Alkbh7	418
Amacr	5539
Amt	3189
Angel2	791
Ankrd12	243
Ankrd42	82
Antkmt	1070
Apex1	1042
Apex2	349
Apoa2	192777
Apoo	789
Apool	1116
Arf5	2079
Arg2	22
Arhgap44	24
Arl2	164
Armc10	315
Armcx1	109
Armcx2	125
Armcx3	420
Armcx6	18
Arvcf	726
Atad1	2592
Atad3a	2372
Atp23	172
Atp5f1a	31756
Atp5f1b	39267
Atp5f1c	10875
Atp5f1d	8453
Atp5f1e	4444
Atp5if1	826
Atp5mc1	2457
Atp5mc2	245
Atp5mc3	16342
Atp5me	2051
Atp5mf	6627
Atp5mg	770
Atp5mj	3191
Atp5mk	1674
Atp5pb	13618
Atp5pd	4800
Atp5pf	9998
Atp5po	5861
Atpaf1	172
Atpaf2	811
Atpsckmt	932
Auh	1798
Aup1	4934
Aurkaip1	1727
Azi2	2664
B3gnt4	0
BC048644	96
Bad	465
Bak1	557
Bax	642
Bbc3	350
Bbof1	368
Bcap31	6328
Bcat2	1792
Bckdha	7000
Bckdhb	4671
Bckdk	451
Bcl2	95
Bcl2a1d	51
Bcl2l1	1216
Bcl2l10	0
Bcl2l11	198
Bcl2l13	1450
Bcl2l2	804
Bco2	1922
Bcs1l	639
Bdh1	9174
Bid	580
Bik	192
Bloc1s1	2020
Bmp8a	0
Bnip3	6761
Bnip3l	2783
Bok	246
Bola1	309
Bola3	1515
Bphl	8286
Bud23	1064
Bud31	1572
C030006K11Rik	190
C1qbp	2778
C330018D20Rik	584
C430014B12Rik	116
Cacna1d	115
Camk1	591
Car5a	2647
Car5b	175
Cars2	764
Casp3	1429
Casp8	1892
Casp9	787
Cat	111233
Cbr2	0
Cbr3	36
Cbr4	1029
Ccdc127	984
Ccdc142	143
Ccdc159	272
Ccdc51	371
Ccdc78	2
Ccdc90b	390
Ccnc	994
Cd63-ps	0
Cdc123	1772
Cdc37l1	2263
Cdc42bpa	1227
Cdh12	23
Cdk5	670
Cdk5rap1	583
