representative	grouped_terms	genes
regulation of cellular process	regulation of cellular process;regulation of biological process	Tmem14c;Pi4ka;Acadvl;Acacb;Slc25a31;Nsun2;Prdx2;Ankrd42;Ncor1;Mfn2;Abi1;Taf5;Ahcyl1;Snap29;Nr2c2;Dlec1;Prelid1;Armcx3;Prdx3;Mul1;Tspo;Eng;Fxr1;Nif3l1;Phb1;Ndufaf2;Phb2;Mff;Gls2;Mterf4;Fundc2;Nrdc;Cebpz;Ptgr3;Marchf5;Dcun1d3;Sdhaf2;Mtch2;Bud31;Ide;Acod1;Camk1;Atp5if1;Slc25a33;Bcl2l11;Vdac2;Spire1;Pink1;Slc25a4;Slc25a22;Slc8b1;Atp5f1a;Micu1;Sptlc2;Cox7a2;Pdk4;Oxct1;Htra2;Mlycd;Timm17a;Hint1;Ifi27;Crbn;Cox7a2l;Mfn1;Apex1;Cox7a1;Hspd1;Ncaph2;Adck1;Cry1;Ptcd3;Trub2;Dhrs7b;Mpv17;Kat14;Pus1;Wdr77;Ucp2;Vti1b;Rcc1l;Mpc2;Bax;Gpx4;Mtpap;Lrfn4;Plscr3;Ckmt1;Prxl2a;Polq;Kars1;Macroh2a2;Mtch1;Lonp1;Prdx4;Casp3;Timm50;Hspa9;Coq7;Txnrd1;Armc10;Tomm22;Cenpq;Atp5f1b;Slc25a14;Nsun4;Slc25a12;Ifi27l2a;Phax;Pdk3;Cdk5;Ndufs4;Snw1;Vdac1;Fam210b;Bid;Dnajc15;Gba1;Lipt2;Me2;Bcl2;Tmbim1;Cdc42bpa;Adcy10;Ung;Bak1;Stoml2;Cacna1d;Rpusd4;Bik;Cisd1;Guf1;Sdhd;Spg7;Pisd;Pck2;Itgad;Nln;Mrpl13;Htatip2;Mrpl12;Bok;Ska3;Bcl2a1d;Fhit;Abcd2;Rad23a;Ppif;Ldlrad4;Bcl2l1;Mxd3;Pif1;Hexb;Alkbh7;Tmem65;Gls;Spr;Fanci
organelle organization	organelle organization;cellular component organization;cellular component organization or biogenesis	Bnip3l;Apool;Arhgap44;Tfam;Mtrfr;Mrrf;Triap1;Ptcd2;Oma1;Mrm2;Ndufc2;Sycp3;Tmem242;Dhx30;Ndufb9;Ndufs1;Mtfp1;Usp30;Ndufb11;Atp23;Slc25a31;Ncor1;Mfn2;Dap3;Snap29;Prelid1;Armcx3;Prdx3;Sdhaf3;Mul1;Tspo;Fxr1;Lyrm2;Ndufs6;Phb1;Ndufa8;Ndufaf2;Mtfr2;Phb2;Mff;Ttc19;Mterf4;Fundc2;Marchf5;Slc25a46;Mthfs;Sdhaf2;Mtch2;Chchd3;Ndufa9;Ppm1k;Atp5if1;Slc25a33;Bcl2l11;Abcb6;Vdac2;Spire1;Primpol;Pink1;Slc25a4;Wdr90;Cox7a2;Htra2;Ptrh1;Mtx1;Alkbh7;Mrpl15;Cox7a2l;Mfn1;Tmem11;Apex1;Ndufb5;Cox7a1;Hspd1;Ncaph2;Adck1;Ndufb8;Mpv17;Ucp2;Vti1b;Rcc1l;Bax;Gfm2;Aup1;Lrfn4;Atp5f1d;Plscr3;Mtch1;Lonp1;Timm29;Timm50;Nubpl;Coq7;Micos13;Tomm22;Nsun4;Cdk5;Ndufs4;Vdac1;Afg3l1;Bid;Sco2;Gba1;Chchd6;Tk2;Bcl2;Polg;Cdc42bpa;Adcy10;Bak1;Dnah17;Stoml2;Samm50;Bik;Rab5if;Miga1;Spg7;Pisd;Ndufs2;Oxa1l;Timm13;Bok;Ska3;Bcl2a1d;Abcd2;Ppif;Ndufaf8;Bcl2l1;Pif1;Hexb;Nudt5;Lrrn3;Hccs;Cdh12;Acacb;Mettl15;Abi1;Taf5;Ahcyl1;Eng;Nrdc;Mettl17;Dcun1d3;Cdc123;Nfs1;Camk1;Micu1;Abcb8;Atp5mc3;Crbn;Isca1;Wdr77;Iba57;Gpx4;Trmt2b;Gls;Polq;Macroh2a2;Prdx4;Casp3;Hspa9;Mtrf1l;Acaca;Dnajc15;Rpusd4;Eri2;Mrm3
membrane organization	membrane organization;mitochondrial membrane organization	Slc25a46;Mtch2;Chchd3;Ppm1k;Atp5if1;Bcl2l11;Vdac2;Spire1;Pink1;Slc25a4;Alkbh7;Tmem11;Adck1;Vti1b;Bax;Plscr3;Mtch1;Timm29;Timm50;Micos13;Tomm22;Afg3l1;Bid;Chchd6;Bcl2;Bak1;Samm50;Rab5if;Spg7;Oxa1l;Timm13;Bok;Abcd2;Ppif;Bcl2l1
cellular localization	cellular localization;protein localization;cellular macromolecule localization;macromolecule localization;establishment of protein localization	Nsun2;Tomm5;Akap10;Mfn2;Ahcyl1;Snap29;Armcx3;Tspo;Fxr1;Timm8a1;Ndufaf2;Phb2;Mff;Mterf4;Timm8b;Marchf5;Tomm34;Slc25a46;Guk1;Mtch2;Camk1;Atp5if1;Spire1;Pink1;Slc25a22;Slc8b1;Oxct1;Mtx1;Timm17a;Ifi27;Hspd1;Synj2;Tomm6;Ucp2;Vti1b;Mpc2;Bax;Aup1;Macroh2a2;Mtch1;Timm29;Timm50;Hspa9;Tomm22;Cenpq;Phax;Cdk5;Bid;Sprn;Dnajc15;Bcl2;Tmbim1;Cdc42bpa;Adcy10;Bak1;Samm50;Cacna1d;Rab5if;Spg7;Mipep;Pck2;Oxa1l;Timm13;Htatip2;Ska3;Abcd2;Timm8a2;Bcl2l1;Hexb;Acacb;Prelid1;Alkbh7;Cry1;Plscr3;Prelid2;Gba1;Stoml2;Pisd
channel activity	channel activity;passive transmembrane transporter activity	Atp5po;Vdac2;Atp5f1a;Atp5mc3;Atp5me;Mpv17;Bax;Atp5f1d;Atp5f1b;Vdac1;Bcl2;Bak1;Cacna1d;Atp5mc1;Bcl2a1d
signal transduction in absence of ligand	signal transduction in absence of ligand;extrinsic apoptotic signaling pathway in absence of ligand	Bcl2l11;Htra2;Bax;Bcl2;Bak1;Bok;Bcl2a1d;Bcl2l1
positive regulation of mitochondrial membrane permeability	positive regulation of mitochondrial membrane permeability;positive regulation of membrane permeability;mitochondrial outer membrane permeabilization involved in programmed cell death	Atp5if1;Bcl2l11;Vdac2;Slc25a4;Bax;Bid;Bak1;Spg7;Bok;Ppif;Bcl2l1
regulation of mitochondrion organization	regulation of mitochondrion organization;regulation of organelle organization	Mief1;Bnip3l;Triap1;Oma1;Usp30;Slc25a31;Mfn2;Prelid1;Mul1;Tspo;Mff;Marchf5;Mtch2;Atp5if1;Bcl2l11;Spire1;Pink1;Slc25a4;Htra2;Mfn1;Adck1;Bax;Plscr3;Vdac1;Bid;Adcy10;Bak1;Bik;Pisd;Bok;Ppif;Bcl2l1;Arhgap44;Lrfn4;Ska3;Pif1
leukocyte proliferation	leukocyte proliferation;mononuclear cell proliferation	Hspd1;Bax;Casp3;Bid;Gba1;Bcl2;Itgad;Bcl2l1
regulation of nitrogen compound metabolic process	regulation of nitrogen compound metabolic process;regulation of macromolecule metabolic process;regulation of primary metabolic process	Prdx2;Ankrd42;Ncor1;Abi1;Taf5;Ahcyl1;Nr2c2;Prelid1;Armcx3;Prdx3;Mul1;Tspo;Eng;Fxr1;Nif3l1;Phb1;Phb2;Mterf4;Nrdc;Cebpz;Dcun1d3;Mtch2;Bud31;Ide;Acod1;Camk1;Atp5if1;Bcl2l11;Spire1;Pink1;Pdk4;Htra2;Timm17a;Hint1;Ifi27;Apex1;Hspd1;Cry1;Ptcd3;Trub2;Dhrs7b;Mpv17;Kat14;Pus1;Wdr77;Rcc1l;Bax;Polq;Kars1;Macroh2a2;Mtch1;Lonp1;Casp3;Coq7;Nsun4;Slc25a12;Phax;Pdk3;Cdk5;Ndufs4;Snw1;Bid;Gba1;Me2;Bcl2;Adcy10;Bak1;Rpusd4;Guf1;Mrpl13;Htatip2;Mrpl12;Bok;Fanci;Bcl2a1d;Fhit;Rad23a;Bcl2l1;Mxd3;Pif1;Hexb;Acacb;Nsun2;Mfn2;Mtpap;Stoml2;Abcd2;Acadvl;Mlycd;Dnajc15;Nln
