representative	grouped_terms	genes
organellar ribosome	organellar ribosome;mitochondrial ribosome;ribosome;ribosomal subunit;ribonucleoprotein complex	Mrpl16;Mrps7;Mrpl43;Mrpl10;Mrpl20;Mrpl24;Mrps23;Mrpl37;Mrpl17;Mrpl12;Dap3;Mpv17l2;Mterf4;Mrps30;Mrpl28;Mrps12;Mrps17;Mrpl9;Mrpl30;Mrpl13;Mrpl58;Mrps18c;Mrpl19;Ndufa7;Mrps9;Mrps16;Mrps18a;Mtg1;Mrps2;Mrpl50;Mrpl32;Mrps14;Mrps22;Mrps26;Mrps27;Mrps24;Mrpl46;Mrpl42;Mrpl40;Mrpl35;Mrpl15;Mrps34;Chchd1;Mrpl11;Snw1;Prorp;Bud31;Snd1;Tefm;Hsd17b10
structural constituent of ribosome	structural constituent of ribosome;structural molecule activity	Mrpl16;Mrps7;Mrpl43;Mrpl10;Mrpl20;Mrpl24;Mrps23;Mrpl37;Mrpl17;Mrpl12;Dap3;Mrps30;Mrpl28;Mrps12;Mrps17;Mrpl9;Mrpl30;Mrpl13;Mrps18c;Mrpl19;Ndufa7;Mrps9;Mrps16;Mrps18a;Mrps2;Mrpl32;Mrps14;Mrps22;Mrps24;Mrpl46;Mrpl35;Mrpl15;Mrps34;Mrpl11;Hmgcl
organellar small ribosomal subunit	organellar small ribosomal subunit;mitochondrial small ribosomal subunit;small ribosomal subunit	Mrps12;Mrps17;Mrps18c;Mrps9;Mrps16;Mrps18a;Mrps2;Mrps14;Mrps22;Mrps26;Mrps27;Mrps24;Mrpl42;Mrps34;Chchd1
mitochondrial translation	mitochondrial translation;peptide biosynthetic process;peptide metabolic process;translation;mitochondrial gene expression;amide metabolic process;amide biosynthetic process	Mrpl16;Mrps7;Coa3;Gfm1;Mrpl43;Mrpl10;Mrpl20;Mrpl24;Mrps23;Mrpl37;Mrpl17;Mrpl12;Rpusd3;Dap3;Mpv17l2;Mrps30;Ears2;Mrpl28;Mrps12;Mrps17;Mrpl9;Mrpl30;Yars2;Mrpl13;Mtrf1l;Mrpl58;Mrps18c;Gatb;Mrpl19;Ndufa7;Mrps9;Mrps16;Mrps18a;Gars1;Taco1;Mtg1;Mrps2;Mrpl50;Shmt2;Mrpl32;Mrps14;Mrps22;Mrps26;Mrps27;Mrps24;Mrpl46;Mrpl42;Mrpl40;Mrpl35;Cdk5rap1;Mrpl15;Mrps34;Chchd1;Mrpl11;Tufm;Mtrfr;Mettl5;Trap1;Fech;Hagh;Mrrf;Cars2;Kars1;Fars2;Gstz1;Immp1l;Mipep;Gstk1;Gpx1;Mtpap;Prorp;Mterf4;Tefm;Mterf2;Hsd17b10;Acot7;Mlycd;Mpc1;Sucla2;Nit1;Cps1;Abcd1;Mpc2;Acaa2;Acot9;Aldh1l1;Suclg1;Hexb;Gcdh;Hmgcl;Nags;Acsm1;Pdhb;Mtg2;Mrpl47;Dars2;Dld;Fh1;Pars2;Acss1
organelle inner membrane	organelle inner membrane;mitochondrial inner membrane	Mpv17;Alas1;Bckdhb;Mtfp1;Mrpl16;Mrps7;Atp5f1c;Coq2;Pcx;Hadh;Coa3;Cox8a;Ndufs6;Mrpl43;Mrpl10;Glud1;Atp5mc1;Adck1;Mrpl20;Ifi27;Mrpl24;Sfxn2;Mrps23;Mrpl37;Ldhb;Mrpl17;Mrpl12;Smim20;Got2;Vdac3;Dap3;Mpc1;Mpst;Atp5mc3;Apoo;Slc25a45;Smdt1;Ndufa12;Ndufb10;Uqcrh;Mpv17l2;Immt;Mrps30;Atp5pb;Immp1l;Timm50;Slc3a1;Slc25a11;Maob;Pmpca;Ndufa9;Mrpl28;Etfdh;Oma1;Mrps12;Cox7a2;Mrps17;Mrpl9;Cox15;Mrpl30;Uqcrc1;Ndufs3;Cyp11a1;Sqor;Pmpcb;Dmac1;Dnajc15;Cps1;Trap1;Nipsnap1;Mrpl13;Nnt;Hadha;Atp5f1a;Timm22;Atp5po;Aldh18a1;Mrpl58;Mrps18c;Ndufaf6;Cox6b2;Mrpl19;Fech;Hsd17b10;Ndufa7;Slc25a44;Mrps9;Cox7a2l;Slc25a5;Hspd1;Cox5a;Coq4;Ndufa4;Aifm1;Mrps16;Mrps18a;Mpc2;Gcat;Acadvl;Slc25a15;Acaa2;Samm50;Cyc1;Mccc1;Bcs1l;Afg3l1;Mtg1;Mrps2;Tmem126a;Oxa1l;Ldhd;Timm17a;Mrpl50;Shmt2;Dnajc30;Pisd;Mrpl32;Acad9;Clpx;Coq9;Mrps14;Mrps22;Mrps26;Efhd1;Suclg1;Grpel1;Mrps27;Mrps24;Atp5f1b;Sfxn4;Micos13;Mtx1;Mrpl46;Timm17b;Mrpl42;Mrpl40;Chchd6;Slc25a43;Dhodh;Mrpl35;Tmem14c;Gcdh;Ucp2;Mrpl15;Mdh2;Hmgcl;Timm21;Phb2;Mrps34;Gstk1;Chchd1;Idh2;Ndufv1;Mrpl11;Tst;Tufm;Ckmt1
organic acid metabolic process	organic acid metabolic process;oxoacid metabolic process	Aadat;Cps1;Abat;Aldh4a1;Abcd1;Hadha;Aldh18a1;Abcd2;Echdc3;Nat8l;Hsd17b10;Slc25a44;Pnkd;Spr;Mpc2;Ivd;Gcat;Acadvl;Hagh;Acaa2;Qdpr;Oat;Hao2;Ldhd;Prdx4;Decr1;Acot9;Agxt;Shmt2;Aldh1l1;Acad9;Mecr;Cbr4;Acsf3;Suclg1;Echs1;Hexb;Kyat3;Me2;Gcdh;Ppa2;Ucp2;Mdh2;Hmgcl;Acads;Nags;Idh2;Gpx1;Mccc2;Gcsh;Mcat;Agmat;Dcxr;Acsm1
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit;large ribosomal subunit	Mrpl43;Mrpl10;Mrpl20;Mrpl24;Mrpl37;Mrpl17;Mrpl12;Mpv17l2;Mterf4;Mrps30;Mrpl28;Mrpl9;Mrpl30;Mrpl13;Mrpl58;Mrpl19;Mrps18a;Mrpl50;Mrpl32;Mrpl46;Mrpl42;Mrpl40;Mrpl35;Mrpl15;Mrpl11
small molecule catabolic process	small molecule catabolic process;organic acid catabolic process;carboxylic acid catabolic process	Hadh;Acot7;Glud1;Bckdk;Acad12;Mlycd;Gstz1;Pck2;Got2;Sardh;Oxct1;Hibch;Gldc;Etfdh;Aldh1a7;Abat;Aldh4a1;Abcd1;Hadha;Abcd2;Hsd17b10;Slc25a44;Pnkd;Bad;Cbr3;Ivd;Gcat;Acadvl;Hagh;Acaa2;Qdpr;Oat;Hao2;Ldhd;Decr1;Agxt;Aldh1l1;Acsf3;Echs1;Hexb;Gcdh;Hmgcl;Nudt1;Acads;Mccc2;Gcsh;Dcxr
